BOW_Code,Species_Scientific_Name,Species_Common_Name,Total_Citation_Num,Diet_Information,Diet_Entry_Length,Diet_Citation_Num,Percentile_Total_Citation_Num,Percentile_Diet_Entry_Length,Percentile_Diet_Citation_Num,Certainty
ostric2,Struthio camelus,Common Ostrich,103,TRUE,88,2,0.906211937,0.498922515,0.818654549,0.741263
ostric3,Struthio molybdophanes,Somali Ostrich,8,TRUE,57,1,0.043614729,0.374496393,0.638386583,0.352165901
grerhe1,Rhea americana,Greater Rhea,116,TRUE,350,10,0.918720135,0.704113183,0.944579781,0.855804366
lesrhe2,Rhea pennata,Lesser Rhea,61,TRUE,417,23,0.836081701,0.71648084,0.978825073,0.843795871
tabtin1,Nothocercus julius,Tawny-breasted Tinamou,13,TRUE,19,0,0.155204722,0.098238546,0.238920641,0.164121303
higtin1,Nothocercus bonapartei,Highland Tinamou,23,TRUE,117,0,0.439660826,0.56240045,0.238920641,0.413660639
hootin1,Nothocercus nigrocapillus,Hooded Tinamou,11,TRUE,43,0,0.102314251,0.288157032,0.238920641,0.209797308
grytin1,Tinamus tao,Gray Tinamou,21,TRUE,14,0,0.387426216,0.062447297,0.238920641,0.229598051
soltin1,Tinamus solitarius,Solitary Tinamou,26,TRUE,45,0,0.50698023,0.301133702,0.238920641,0.349011524
blatin1,Tinamus osgoodi,Black Tinamou,18,TRUE,39,0,0.302585965,0.259252319,0.238920641,0.266919641
gretin1,Tinamus major,Great Tinamou,39,TRUE,66,1,0.702614073,0.416986789,0.638386583,0.585995815
whttin1,Tinamus guttatus,White-throated Tinamou,14,TRUE,29,0,0.183172491,0.178956245,0.238920641,0.200349792
cintin1,Crypturellus cinereus,Cinereous Tinamou,14,TRUE,17,0,0.183172491,0.083762766,0.238920641,0.168618633
bertin1,Crypturellus berlepschi,Berlepsch's Tinamou,9,TRUE,26,0,0.059683313,0.154970486,0.238920641,0.15119148
littin1,Crypturellus soui,Little Tinamou,35,TRUE,78,0,0.65740654,0.468424998,0.238920641,0.454917393
teptin1,Crypturellus ptaritepui,Tepui Tinamou,6,TRUE,28,0,0.020003748,0.171226459,0.238920641,0.143383616
brotin1,Crypturellus obsoletus,Brown Tinamou,25,TRUE,66,0,0.485243137,0.416986789,0.238920641,0.380383522
undtin1,Crypturellus undulatus,Undulated Tinamou,19,TRUE,18,0,0.332240232,0.09050876,0.238920641,0.220556545
pabtin1,Crypturellus transfasciatus,Pale-browed Tinamou,12,TRUE,49,0,0.127705425,0.328164527,0.238920641,0.231596864
bratin1,Crypturellus strigulosus,Brazilian Tinamou,9,TRUE,20,0,0.059683313,0.106343109,0.238920641,0.134982354
gyltin1,Crypturellus duidae,Gray-legged Tinamou,13,TRUE,19,0,0.155204722,0.098238546,0.238920641,0.164121303
reltin1,Crypturellus erythropus,Red-legged Tinamou,16,TRUE,60,1,0.244167526,0.39051813,0.638386583,0.424357413
yeltin1,Crypturellus noctivagus,Yellow-legged Tinamou,17,TRUE,26,0,0.273728099,0.154970486,0.238920641,0.222539742
blctin1,Crypturellus atrocapillus,Black-capped Tinamou,13,FALSE,0,NA,0.155204722,0.008104563,0.991005341,0.384771542
slbtin1,Crypturellus boucardi,Slaty-breasted Tinamou,16,TRUE,211,0,0.244167526,0.658952497,0.238920641,0.380680221
chotin1,Crypturellus kerriae,Choco Tinamou,15,TRUE,28,0,0.21263937,0.171226459,0.238920641,0.20759549
vartin1,Crypturellus variegatus,Variegated Tinamou,21,TRUE,NA,1,0.387426216,0.748055842,0.638386583,0.591289547
thitin1,Crypturellus cinnamomeus,Thicket Tinamou,21,TRUE,48,0,0.387426216,0.321371686,0.238920641,0.315906181
rustin1,Crypturellus brevirostris,Rusty Tinamou,16,TRUE,27,1,0.244167526,0.162840813,0.638386583,0.348464974
bartin2,Crypturellus bartletti,Bartlett's Tinamou,12,FALSE,0,NA,0.127705425,0.008104563,0.991099035,0.375636341
smbtin1,Crypturellus parvirostris,Small-billed Tinamou,20,TRUE,NA,1,0.36039539,0.748149536,0.638386583,0.582310503
bartin1,Crypturellus casiquiare,Barred Tinamou,11,FALSE,0,NA,0.102314251,0.008104563,0.991192729,0.367203848
tattin1,Crypturellus tataupa,Tataupa Tinamou,22,TRUE,27,0,0.413848028,0.162840813,0.238920641,0.271869827
rewtin1,Rhynchotus rufescens,Red-winged Tinamou,30,TRUE,184,1,0.584231238,0.642368594,0.638386583,0.621662138
huatin1,Rhynchotus maculicollis,Huayco Tinamou,4,TRUE,47,0,0.007355008,0.314250914,0.238920641,0.186842187
tactin1,Nothoprocta taczanowskii,Taczanowski's Tinamou,8,TRUE,12,0,0.043614729,0.051203973,0.238920641,0.111246447
orntin1,Nothoprocta ornata,Ornate Tinamou,17,TRUE,79,0,0.273728099,0.471142134,0.238920641,0.327930291
chitin1,Nothoprocta perdicaria,Chilean Tinamou,80,TRUE,510,11,0.878759487,0.726271901,0.949826665,0.851619351
brutin1,Nothoprocta cinerascens,Brushland Tinamou,12,TRUE,52,0,0.127705425,0.345123208,0.238920641,0.237249758
andtin1,Nothoprocta pentlandii,Andean Tinamou,22,TRUE,55,0,0.413848028,0.362737749,0.238920641,0.338502139
cubtin1,Nothoprocta curvirostris,Curve-billed Tinamou,9,FALSE,0,NA,0.059683313,0.008104563,0.991286424,0.353024767
whbnot1,Nothura boraquira,White-bellied Nothura,7,TRUE,12,0,0.030638059,0.051203973,0.238920641,0.106920891
lesnot1,Nothura minor,Lesser Nothura,10,FALSE,0,NA,0.079546519,0.008104563,0.991380118,0.359677067
darnot1,Nothura darwinii,Darwin's Nothura,17,TRUE,233,0,0.273728099,0.670336363,0.238920641,0.394328368
sponot1,Nothura maculosa,Spotted Nothura,45,TRUE,136,0,0.753677504,0.591258315,0.238920641,0.527952153
dwatin1,Taoniscus nanus,Dwarf Tinamou,16,TRUE,46,0,0.244167526,0.307832849,0.238920641,0.263640339
elctin1,Eudromia elegans,Elegant Crested-Tinamou,21,TRUE,163,0,0.387426216,0.623817109,0.238920641,0.416721322
quctin1,Eudromia formosa,Quebracho Crested-Tinamou,17,TRUE,104,0,0.273728099,0.536353415,0.238920641,0.349667385
puntin1,Tinamotis pentlandii,Puna Tinamou,10,TRUE,37,0,0.079546519,0.245526094,0.238920641,0.187997751
pattin1,Tinamotis ingoufi,Patagonian Tinamou,9,TRUE,30,0,0.059683313,0.186732877,0.238920641,0.161778944
soucas1,Casuarius casuarius,Southern Cassowary,54,TRUE,374,7,0.806521128,0.708516818,0.921343577,0.812127174
dwacas1,Casuarius bennetti,Dwarf Cassowary,14,TRUE,69,1,0.183172491,0.432352666,0.638386583,0.41797058
norcas1,Casuarius unappendiculatus,Northern Cassowary,9,TRUE,NA,1,0.059683313,0.748243231,0.638386583,0.482104376
emu1,Dromaius novaehollandiae,Emu,69,TRUE,129,2,0.858193573,0.581467254,0.818654549,0.752771792
sobkiw1,Apteryx australis,Southern Brown Kiwi,19,TRUE,NA,1,0.332240232,0.748336925,0.638386583,0.572987913
okbkiw1,Apteryx rowi,Okarito Brown Kiwi,20,TRUE,30,0,0.36039539,0.186732877,0.238920641,0.262016303
nibkiw1,Apteryx mantelli,North Island Brown Kiwi,35,TRUE,NA,1,0.65740654,0.748430619,0.638386583,0.681407914
liskiw1,Apteryx owenii,Little Spotted Kiwi,17,TRUE,86,0,0.273728099,0.492879228,0.238920641,0.335175989
grskiw1,Apteryx haastii,Great Spotted Kiwi,11,TRUE,NA,1,0.102314251,0.748524314,0.638386583,0.496408383
horscr1,Anhima cornuta,Horned Screamer,34,TRUE,NA,1,0.643867704,0.748618008,0.638386583,0.676957432
souscr1,Chauna torquata,Southern Screamer,32,TRUE,NA,1,0.616040476,0.748711702,0.638386583,0.66771292
norscr1,Chauna chavaria,Northern Screamer,23,TRUE,32,1,0.439660826,0.203035698,0.638386583,0.427027702
