eBird_Clements_v2022,eBird_Clements_v2021,BirdLife_v3,BirdLife_v7,IOC_v13.1
Struthio camelus,Struthio camelus,Struthio camelus,Struthio camelus,Struthio camelus
Rhea americana,Rhea americana,Rhea americana,Rhea americana,Rhea americana
Rhea pennata,Rhea pennata,Rhea pennata,Rhea pennata,Rhea pennata
Casuarius casuarius,Casuarius casuarius,Casuarius casuarius,Casuarius casuarius,Casuarius casuarius
Casuarius bennetti,Casuarius bennetti,Casuarius bennetti,Casuarius bennetti,Casuarius bennetti
Casuarius unappendiculatus,Casuarius unappendiculatus,Casuarius unappendiculatus,Casuarius unappendiculatus,Casuarius unappendiculatus
Dromaius novaehollandiae,Dromaius novaehollandiae,Dromaius novaehollandiae,Dromaius novaehollandiae,Dromaius novaehollandiae
Apteryx australis,Apteryx australis,Apteryx australis,Apteryx australis,Apteryx australis
Apteryx owenii,Apteryx owenii,Apteryx owenii,Apteryx owenii,Apteryx owenii
Apteryx haastii,Apteryx haastii,Apteryx haastii,Apteryx haastii,Apteryx haastii
Tinamus tao,Tinamus tao,Tinamus tao,Tinamus tao,Tinamus tao
Tinamus solitarius,Tinamus solitarius,Tinamus solitarius,Tinamus solitarius,Tinamus solitarius
Tinamus osgoodi,Tinamus osgoodi,Tinamus osgoodi,Tinamus osgoodi,Tinamus osgoodi
Tinamus major,Tinamus major,Tinamus major,Tinamus major,Tinamus major
Tinamus guttatus,Tinamus guttatus,Tinamus guttatus,Tinamus guttatus,Tinamus guttatus
Nothocercus bonapartei,Nothocercus bonapartei,Nothocercus bonapartei,Nothocercus bonapartei,Nothocercus bonapartei
Nothocercus julius,Nothocercus julius,Nothocercus julius,Nothocercus julius,Nothocercus julius
Nothocercus nigrocapillus,Nothocercus nigrocapillus,Nothocercus nigrocapillus,Nothocercus nigrocapillus,Nothocercus nigrocapillus
Crypturellus berlepschi,Crypturellus berlepschi,Crypturellus berlepschi,Crypturellus berlepschi,Crypturellus berlepschi
Crypturellus cinereus,Crypturellus cinereus,Crypturellus cinereus,Crypturellus cinereus,Crypturellus cinereus
Crypturellus soui,Crypturellus soui,Crypturellus soui,Crypturellus soui,Crypturellus soui
Crypturellus ptaritepui,Crypturellus ptaritepui,Crypturellus ptaritepui,Crypturellus ptaritepui,Crypturellus ptaritepui
Crypturellus obsoletus,Crypturellus obsoletus,Crypturellus obsoletus,Crypturellus obsoletus,Crypturellus obsoletus
Crypturellus cinnamomeus,Crypturellus cinnamomeus,Crypturellus cinnamomeus,Crypturellus cinnamomeus,Crypturellus cinnamomeus
Crypturellus undulatus,Crypturellus undulatus,Crypturellus undulatus,Crypturellus undulatus,Crypturellus undulatus
Crypturellus transfasciatus,Crypturellus transfasciatus,Crypturellus transfasciatus,Crypturellus transfasciatus,Crypturellus transfasciatus
Crypturellus strigulosus,Crypturellus strigulosus,Crypturellus strigulosus,Crypturellus strigulosus,Crypturellus strigulosus
Crypturellus boucardi,Crypturellus boucardi,Crypturellus boucardi,Crypturellus boucardi,Crypturellus boucardi
Crypturellus kerriae,Crypturellus kerriae,Crypturellus kerriae,Crypturellus kerriae,Crypturellus kerriae
Crypturellus erythropus,Crypturellus erythropus,Crypturellus erythropus,Crypturellus erythropus,Crypturellus erythropus
Crypturellus duidae,Crypturellus duidae,Crypturellus duidae,Crypturellus duidae,Crypturellus duidae
Crypturellus noctivagus,Crypturellus noctivagus,Crypturellus noctivagus,Crypturellus noctivagus,Crypturellus noctivagus
Crypturellus atrocapillus,Crypturellus atrocapillus,Crypturellus atrocapillus,Crypturellus atrocapillus,Crypturellus atrocapillus
Crypturellus variegatus,Crypturellus variegatus,Crypturellus variegatus,Crypturellus variegatus,Crypturellus variegatus
Crypturellus brevirostris,Crypturellus brevirostris,Crypturellus brevirostris,Crypturellus brevirostris,Crypturellus brevirostris
Crypturellus bartletti,Crypturellus bartletti,Crypturellus bartletti,Crypturellus bartletti,Crypturellus bartletti
Crypturellus parvirostris,Crypturellus parvirostris,Crypturellus parvirostris,Crypturellus parvirostris,Crypturellus parvirostris
Crypturellus casiquiare,Crypturellus casiquiare,Crypturellus casiquiare,Crypturellus casiquiare,Crypturellus casiquiare
Crypturellus tataupa,Crypturellus tataupa,Crypturellus tataupa,Crypturellus tataupa,Crypturellus tataupa
Rhynchotus rufescens,Rhynchotus rufescens,Rhynchotus rufescens,Rhynchotus rufescens,Rhynchotus rufescens
Nothoprocta taczanowskii,Nothoprocta taczanowskii,Nothoprocta taczanowskii,Nothoprocta taczanowskii,Nothoprocta taczanowskii
Nothoprocta ornata,Nothoprocta ornata,Nothoprocta ornata,Nothoprocta ornata,Nothoprocta ornata
Nothoprocta pentlandii,Nothoprocta pentlandii,Nothoprocta pentlandii,Nothoprocta pentlandii,Nothoprocta pentlandii
Nothoprocta cinerascens,Nothoprocta cinerascens,Nothoprocta cinerascens,Nothoprocta cinerascens,Nothoprocta cinerascens
Nothoprocta perdicaria,Nothoprocta perdicaria,Nothoprocta perdicaria,Nothoprocta perdicaria,Nothoprocta perdicaria
Nothoprocta curvirostris,Nothoprocta curvirostris,Nothoprocta curvirostris,Nothoprocta curvirostris,Nothoprocta curvirostris
Nothura darwinii,Nothura darwinii,Nothura darwinii,Nothura darwinii,Nothura darwinii
Nothura maculosa,Nothura maculosa,Nothura chacoensis,Nothura maculosa,Nothura maculosa
Nothura maculosa,Nothura maculosa,Nothura maculosa,Nothura maculosa,Nothura maculosa
Nothura minor,Nothura minor,Nothura minor,Nothura minor,Nothura minor
Nothura boraquira,Nothura boraquira,Nothura boraquira,Nothura boraquira,Nothura boraquira
Taoniscus nanus,Taoniscus nanus,Taoniscus nanus,Taoniscus nanus,Taoniscus nanus
Eudromia elegans,Eudromia elegans,Eudromia elegans,Eudromia elegans,Eudromia elegans
Eudromia formosa,Eudromia formosa,Eudromia formosa,Eudromia formosa,Eudromia formosa
Tinamotis pentlandii,Tinamotis pentlandii,Tinamotis pentlandii,Tinamotis pentlandii,Tinamotis pentlandii
Tinamotis ingoufi,Tinamotis ingoufi,Tinamotis ingoufi,Tinamotis ingoufi,Tinamotis ingoufi
Ortalis vetula,Ortalis vetula,Ortalis vetula,Ortalis vetula,Ortalis vetula
Ortalis cinereiceps,Ortalis cinereiceps,Ortalis cinereiceps,Ortalis cinereiceps,Ortalis cinereiceps
Ortalis garrula,Ortalis garrula,Ortalis garrula,Ortalis garrula,Ortalis garrula
Ortalis ruficauda,Ortalis ruficauda,Ortalis ruficauda,Ortalis ruficauda,Ortalis ruficauda
Ortalis erythroptera,Ortalis erythroptera,Ortalis erythroptera,Ortalis erythroptera,Ortalis erythroptera
